mmsi,ts,time_bin,lat,lon,speed,course
100896717,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,36.411235,121.433212,1.0,266.1
100901000,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,36.100833,121.560317,2.9,132.7
100902561,2022-04-24 00:00:10+00:00,2022-04-24 00:00:00+00:00,35.829658,120.286617,2.1,235.1
100904419,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.971747,120.427128,0.9,296.1
100904427,2022-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,35.94503,120.432873,1.7,103.6
100908592,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.962257,120.38166,2.9,277.5
108669524,2022-04-24 00:00:11+00:00,2022-04-24 00:00:00+00:00,36.500455,121.119737,8.7,325.7
108672072,2022-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,36.083192,120.589152,7.4,288.4
108673333,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,36.42922,120.978857,6.6,91.4
123516324,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,36.153663,121.435982,2.1,212.7
180621003,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,35.350463,119.688492,5.0,264.8
180825007,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,35.360007,119.669868,3.7,323.1
210804000,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,35.928958,121.14138,0.8,145.8
228339600,2022-04-24 00:00:09+00:00,2022-04-24 00:00:00+00:00,36.00208,120.199472,0.0,284.1
235050802,2022-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,35.794917,120.99895,1.1,245.0
259848000,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,35.996372,120.256067,0.0,265.3
311000621,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,35.262133,119.821428,0.1,197.5
311073400,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,35.8075,120.924267,0.0,232.0
333333333,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,35.300162,119.711037,4.2,160.1
352297000,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,36.0105,120.20855,0.0,149.0
355925000,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,35.241335,119.789828,14.4,291.2
356892000,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,36.14401,121.432165,13.6,245.8
357368000,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,36.159918,121.877735,15.7,235.5
412000002,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,35.054118,119.613532,3.6,100.4
412002098,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,36.531333,121.583943,3.7,85.6
412024620,2022-04-24 00:00:10+00:00,2022-04-24 00:00:00+00:00,36.063288,120.228627,0.0,0.0
412024750,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,35.587127,119.797942,0.1,275.8
412050900,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,35.845973,121.839293,5.8,274.3
412053530,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,35.88349,121.80148,2.5,346.9
412111111,2022-04-24 00:00:10+00:00,2022-04-24 00:00:00+00:00,35.29143,119.871532,3.4,73.6
412150904,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,35.253612,119.800232,4.1,184.5
412184251,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,36.17785,121.3099,1.4,179.6
412201608,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,35.055075,119.63423,3.2,86.4
412225615,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,36.383508,121.03935,0.0,101.5
412255622,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,36.09197,121.763427,3.7,256.9
412320298,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,35.613005,122.016392,2.3,297.6
412320919,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,35.40998,119.839983,8.3,292.1
412321669,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,35.451162,119.808097,0.7,290.0
412322037,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,35.883802,121.896247,3.2,349.2
412322041,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,35.420155,119.96151,8.7,260.0
